character_id,character_name,character_status,character_species,episode_name,episode_code,episode_air_date,dimension
2,Morty Smith,Alive,Human,Mort Dinner Rick Andre,S05E01,"June 20, 2021",Unknown
2,Morty Smith,Alive,Human,Mortyplicity,S05E02,"June 27, 2021",Unknown
2,Morty Smith,Alive,Human,A Rickconvenient Mort,S05E03,"July 4, 2021",Unknown
2,Morty Smith,Alive,Human,Rickdependence Spray,S05E04,"July 11, 2021",Unknown
2,Morty Smith,Alive,Human,Amortycan Grickfitti,S05E05,"July 18, 2021",Unknown
2,Morty Smith,Alive,Human,Rick & Morty's Thanksploitation Spectacular,S05E06,"July 25, 2021",Unknown
2,Morty Smith,Alive,Human,Gotron Jerrysis Rickvangelion,S05E07,"August 1, 2021",Unknown
2,Morty Smith,Alive,Human,Rickternal Friendshine of the Spotless Mort,S05E08,"August 8, 2021",Unknown
2,Morty Smith,Alive,Human,Forgetting Sarick Mortshall,S05E09,"September 5, 2021",Unknown
2,Morty Smith,Alive,Human,Rickmurai Jack,S05E10,"September 5, 2021",Unknown
3,Summer Smith,Alive,Human,Rick Potion #9,S01E06,"January 27, 2014",Replacement Dimension
3,Summer Smith,Alive,Human,Raising Gazorpazorp,S01E07,"March 10, 2014",Replacement Dimension
3,Summer Smith,Alive,Human,Rixty Minutes,S01E08,"March 17, 2014",Replacement Dimension
3,Summer Smith,Alive,Human,Something Ricked This Way Comes,S01E09,"March 24, 2014",Replacement Dimension
3,Summer Smith,Alive,Human,Close Rick-counters of the Rick Kind,S01E10,"April 7, 2014",Replacement Dimension
3,Summer Smith,Alive,Human,Ricksy Business,S01E11,"April 14, 2014",Replacement Dimension
3,Summer Smith,Alive,Human,A Rickle in Time,S02E01,"July 26, 2015",Replacement Dimension
3,Summer Smith,Alive,Human,Auto Erotic Assimilation,S02E03,"August 9, 2015",Replacement Dimension
3,Summer Smith,Alive,Human,Total Rickall,S02E04,"August 16, 2015",Replacement Dimension
3,Summer Smith,Alive,Human,Get Schwifty,S02E05,"August 23, 2015",Replacement Dimension
3,Summer Smith,Alive,Human,The Ricks Must Be Crazy,S02E06,"August 30, 2015",Replacement Dimension
3,Summer Smith,Alive,Human,Big Trouble in Little Sanchez,S02E07,"September 13, 2015",Replacement Dimension
3,Summer Smith,Alive,Human,Interdimensional Cable 2: Tempting Fate,S02E08,"September 20, 2015",Replacement Dimension
3,Summer Smith,Alive,Human,Look Who's Purging Now,S02E09,"September 27, 2015",Replacement Dimension
3,Summer Smith,Alive,Human,The Wedding Squanchers,S02E10,"October 4, 2015",Replacement Dimension
3,Summer Smith,Alive,Human,The Rickshank Rickdemption,S03E01,"April 1, 2017",Replacement Dimension
3,Summer Smith,Alive,Human,Rickmancing the Stone,S03E02,"July 30, 2017",Replacement Dimension
